LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,MSEstm,stmDrtn,MSEStmHz,MSEstmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS,MI,Thresholded
100,181115,2,1,40,0,250,2,0,1,1,8,400,0,1,0,0,0,0,NaN,,-1,0
100,181115,2,1,58,0,250,2,0,0,1,8,400,0,1,0,1.7312,2.1064,1.4144,NaN,,-1,0
100,181115,2,1,75,0,250,2,0,1,1,1,400,0,1,0,0,7,0,NaN,,1,1
100,181115,2,1,93,0,250,2,0,0,1,1,400,0,1,0,0,0,0,NaN,,1,1
100,181115,2,1,110,0,250,2,0,1,1,1,400,1,2,0,0,9,0,NaN,,0.540990343127183,1
100,181115,2,1,127,0,250,2,0,0,1,1,400,1,2,0,0,2.6808,0,NaN,,0.540990343127183,1
100,181115,2,1,160,0,250,2,0,1,1,8,400,1,1,0,0,10,0,NaN,,0.58247879478415,1
100,181115,2,1,193,0,250,2,0,0,1,8,400,0,1,0,0,2.6384,0,NaN,,0.58247879478415,1
100,181115,2,1,234,0,250,2,0,1,1,20,400,1,3,0,0,22,0,NaN,,1,1
100,181115,2,1,268,0,250,2,0,0,1,20,400,1,1,0,0,0,0,NaN,,1,1
127,200817,1,1,1,0,10,2,0,0,1,1,400,0,0,0,0,0,0,NaN,,0,0
127,200817,1,1,23,40,10,2,0,1,1,1,400,0,1,0,0,0,0,NaN,,0,0
127,200817,1,1,34,30,20,2,0,0,1,8,400,0,1,0,0,0,0,NaN,,0,0
127,200817,1,1,52,0,20,2,0,1,1,8,400,0,0,0,0,0,0,NaN,,0,0
127,200817,1,1,68,0,20,2,0,0,1,20,400,0,0,0,0,0,0,NaN,,1,1
127,200817,1,1,90,0,20,2,0,1,1,20,400,1,3,0,0,41,0,NaN,,1,1
128,200817,1,1,1,0,50,2,0,1,1,1,400,0,0,0,0,0,0,NaN,,0,0
128,200817,1,1,23,40,50,2,0,0,1,1,400,0,0,0,0,0,0,NaN,,0,0
128,200817,1,1,34,30,75,2,0,1,1,8,400,0,1,3,0.702,34,25,NaN,,1,1
128,200817,1,1,52,0,75,2,0,0,1,8,400,0,0,0,0,0,0,NaN,,1,1
128,200817,1,1,68,0,75,2,0,1,1,20,400,0,2,10,2.508,64,43,NaN,,1,1
128,200817,1,1,90,0,75,2,0,0,1,20,400,0,1,2,0,0,0,NaN,,1,1
127,200817,3,1,3,0,20,2,0,0,1,20,400,0,0,0,0,0,0,NaN,,1,1
127,200817,3,1,46,30,20,2,0,1,1,20,400,0,1,0,0,35,0,NaN,,1,1
127,200817,3,1,76,30,20,2,0,0,1,8,400,0,0,0,0,0,0,NaN,,0,0
127,200817,3,1,107,0,20,2,0,1,1,8,400,0,0,0,0.524,0,0,NaN,,0,0
127,200817,3,1,130,30,20,2,0,0,1,1,400,0,0,0,0,0,0,NaN,,0,0
127,200817,3,1,141,0,20,2,0,1,1,1,400,0,0,0,0,0,0,NaN,,0,0
127,200817,3,1,151,0,20,2,0,0,1,1,400,0,0,0,0,0,0,NaN,,0,0
127,200817,3,1,161,0,20,2,0,1,1,1,400,0,0,0,55.412,0,0,NaN,,0,0
128,200817,3,1,3,0,50,2,0,1,1,20,400,1,5,3,0.128,46,27,NaN,,1,1
