LTR,Date,ExpNo1,ExpNo2,Num,RS,WDS
85,181719,1,1,21,2,1
85,181719,1,1,22,2,2
85,181719,1,1,23,3,1
86,181719,1,1,24,2,0
86,181719,1,1,19,1,1
86,181719,1,1,20,4,7
86,181719,1,1,21,1,3
86,181719,1,1,22,5,3
86,181719,1,1,23,1,3
86,181719,1,1,24,2,3
85,180720,1,1,25,0,0
85,180720,1,1,26,4,0
85,180720,1,1,27,4,0
85,180720,1,1,28,5,0
85,180720,1,1,29,1,0
86,180720,1,1,30,1,0
86,180720,1,1,25,1,4
86,180720,1,1,26,2,5
86,180720,1,1,27,2,5
86,180720,1,1,28,2,10
86,180720,1,1,29,2,1
86,180720,1,1,30,5,2
85,180722,1,1,31,1,1
85,180722,1,1,32,5,1
85,180722,1,1,33,1,0
85,180722,1,1,34,5,0
85,180722,1,1,35,5,0
86,180722,1,1,36,2,3
86,180722,1,1,31,2,4
86,180722,1,1,32,2,11
86,180722,1,1,33,5,3
86,180722,1,1,34,5,2
86,180722,1,1,35,4,3
86,180722,1,1,36,4,1
85,180726,1,1,37,2,1
85,180726,1,1,38,5,0
85,180726,1,1,39,5,3
85,180726,1,1,40,5,0
85,180726,1,1,41,3,2
86,180726,1,1,42,4,0
86,180726,1,1,37,5,0
86,180726,1,1,38,2,7
86,180726,1,1,39,5,6
86,180726,1,1,40,5,4
86,180726,1,1,41,3,3
86,180726,1,1,42,3,3
85,180727,1,1,43,1,0
85,180727,1,1,44,5,0
85,180727,1,1,45,1,0
85,180727,1,1,46,2,1
85,180727,1,1,47,5,0
86,180727,1,1,48,1,0
86,180727,1,1,43,5,0
86,180727,1,1,44,5,2
86,180727,1,1,45,3,0
86,180727,1,1,46,5,0
86,180727,1,1,47,5,1
86,180727,1,1,48,5,2
85,180728,1,1,49,5,0
85,180728,1,1,50,5,0
85,180728,1,1,51,4,0
85,180728,1,1,52,5,0
85,180728,1,1,53,5,0
86,180728,1,1,54,5,1
86,180728,1,1,49,5,2
86,180728,1,1,50,5,4
86,180728,1,1,51,4,0
86,180728,1,1,52,5,3
86,180728,1,1,53,5,6
86,180728,1,1,54,4,1
85,180730,1,1,55,2,2
85,180730,1,1,56,3,0
85,180730,1,1,57,4,1
85,180730,1,1,58,4,1
85,180730,1,1,59,3,0
86,180730,1,1,60,4,0
86,180730,1,1,55,2,3
86,180730,1,1,56,1,3
86,180730,1,1,57,1,5
86,180730,1,1,58,1,2
86,180730,1,1,59,1,6
86,180730,1,1,60,2,3
93,180802,1,1,1,0,1
93,180802,1,1,2,0,0
93,180802,1,1,3,0,0
93,180802,1,1,4,1,8
93,180802,1,1,5,1,10
93,180802,1,1,6,1,7
94,180802,1,1,1,1,10
94,180802,1,1,2,1,8
94,180802,1,1,3,1,13
94,180802,1,1,4,1,12
94,180802,1,1,5,3,11
94,180802,1,1,6,1,5
93,180803,1,1,7,0,4
93,180803,1,1,8,0,0
93,180803,1,1,9,0,0
93,180803,1,1,10,0,4
93,180803,1,1,11,0,0
93,180803,1,1,12,0,0
94,180803,1,1,7,0,14
94,180803,1,1,8,0,6
94,180803,1,1,9,0,3
94,180803,1,1,10,0,8
94,180803,1,1,11,0,8
94,180803,1,1,12,0,7
93,180804,1,1,13,0,0
93,180804,1,1,14,0,0
93,180804,1,1,15,0,1
93,180804,1,1,16,0,0
93,180804,1,1,17,0,2
93,180804,1,1,18,0,0
94,180804,1,1,13,0,0
94,180804,1,1,14,0,9
94,180804,1,1,15,0,6
94,180804,1,1,16,0,8
94,180804,1,1,17,0,3
94,180804,1,1,18,0,4
93,180806,1,1,19,1,0
93,180806,1,1,20,1,0
93,180806,1,1,21,1,3
93,180806,1,1,22,1,0
93,180806,1,1,23,1,2
93,180806,1,1,24,1,0
94,180806,1,1,19,2,0
94,180806,1,1,20,1,3
94,180806,1,1,21,1,4
94,180806,1,1,22,1,6
94,180806,1,1,23,1,0
94,180806,1,1,24,1,2
93,180807,1,1,25,1,0
93,180807,1,1,26,1,0
93,180807,1,1,27,1,0
93,180807,1,1,28,1,0
93,180807,1,1,29,1,0
93,180807,1,1,30,1,0
94,180807,1,1,25,1,0
94,180807,1,1,26,1,0
94,180807,1,1,27,1,0
94,180807,1,1,28,1,0
94,180807,1,1,29,4,0
94,180807,1,1,30,5,0
93,180808,1,1,31,1,0
93,180808,1,1,32,1,0
93,180808,1,1,33,1,0
93,180808,1,1,34,1,0
93,180808,1,1,35,1,0
93,180808,1,1,36,1,0
94,180808,1,1,31,1,0
94,180808,1,1,32,5,0
94,180808,1,1,33,4,4
94,180808,1,1,34,5,0
